"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]","Average temperature [°C]"
"Kuopio keskusta","2004","4","22","03:00","-","0.9"
"Kuopio keskusta","2004","4","23","03:00","-","0.8"
"Kuopio keskusta","2004","4","24","03:00","-","2.3"
"Kuopio keskusta","2004","4","25","03:00","-","2.4"
"Kuopio keskusta","2004","4","26","03:00","-","3.8"
"Kuopio keskusta","2004","4","27","03:00","-","5"
"Kuopio keskusta","2004","4","28","03:00","-","5.2"
"Kuopio keskusta","2004","4","29","03:00","-","5.8"
"Kuopio keskusta","2004","4","30","03:00","-","6"
"Kuopio keskusta","2004","5","1","03:00","-","8"
"Kuopio keskusta","2004","5","2","03:00","-","7.9"
"Kuopio keskusta","2004","5","3","03:00","-","10.6"
"Kuopio keskusta","2004","5","4","03:00","-","11.3"
"Kuopio keskusta","2004","5","5","03:00","-","12.2"
"Kuopio keskusta","2004","5","6","03:00","-","14.6"
"Kuopio keskusta","2004","5","7","03:00","-","14"
"Kuopio keskusta","2004","5","8","03:00","-","16"
"Kuopio keskusta","2004","5","9","03:00","-","14.7"
"Kuopio keskusta","2004","5","10","03:00","-","2.8"
"Kuopio keskusta","2004","5","11","03:00","-","1.5"
"Kuopio keskusta","2004","5","12","03:00","-","3"
"Kuopio keskusta","2004","5","13","03:00","-","3.5"
"Kuopio keskusta","2004","5","15","03:00","-","5.1"
"Kuopio keskusta","2004","5","16","03:00","-","5.4"
"Kuopio keskusta","2004","5","17","03:00","-","7.6"
"Kuopio keskusta","2004","5","18","03:00","-","7.1"
"Kuopio keskusta","2004","5","19","03:00","-","8.1"
"Kuopio keskusta","2004","5","20","03:00","-","7.3"
"Kuopio keskusta","2004","5","21","03:00","-","7.8"
"Kuopio keskusta","2004","5","22","03:00","-","6.5"
"Kuopio keskusta","2004","5","23","03:00","-","6.4"
"Kuopio keskusta","2004","5","24","03:00","-","8.1"
"Kuopio keskusta","2004","5","25","03:00","-","9.1"
"Kuopio keskusta","2004","5","26","03:00","-","9.5"
"Kuopio keskusta","2004","5","27","03:00","-","11.2"
"Kuopio keskusta","2004","5","28","03:00","-","11.1"
"Kuopio keskusta","2004","5","29","03:00","-","10"
"Kuopio keskusta","2004","5","30","03:00","-","10"
"Kuopio keskusta","2004","5","31","03:00","-","8.2"
"Kuopio keskusta","2004","6","1","03:00","-","11.4"
"Kuopio keskusta","2004","6","2","03:00","-","11"
"Kuopio keskusta","2004","6","3","03:00","-","10.8"
"Kuopio keskusta","2004","6","4","03:00","-","15.2"
"Kuopio keskusta","2004","6","5","03:00","-","17.2"
"Kuopio keskusta","2004","6","6","03:00","-","11.8"
"Kuopio keskusta","2004","6","7","03:00","-","9"
"Kuopio keskusta","2004","6","8","03:00","-","9.9"
"Kuopio keskusta","2004","6","9","03:00","-","10.1"
"Kuopio keskusta","2004","6","10","03:00","-","11.6"
"Kuopio keskusta","2004","6","11","03:00","-","12.2"
"Kuopio keskusta","2004","6","12","03:00","-","13.6"
"Kuopio keskusta","2004","6","13","03:00","-","15.3"
"Kuopio keskusta","2004","6","14","03:00","-","11.3"
"Kuopio keskusta","2004","6","15","03:00","-","9.8"
"Kuopio keskusta","2004","6","16","03:00","-","9.3"
"Kuopio keskusta","2004","6","17","03:00","-","10.1"
"Kuopio keskusta","2004","6","18","03:00","-","10.3"
"Kuopio keskusta","2004","6","19","03:00","-","12.9"
"Kuopio keskusta","2004","6","20","03:00","-","13.1"
"Kuopio keskusta","2004","6","21","03:00","-","14.5"
"Kuopio keskusta","2004","6","22","03:00","-","13.6"
"Kuopio keskusta","2004","6","23","03:00","-","14"
"Kuopio keskusta","2004","6","24","03:00","-","14.1"
"Kuopio keskusta","2004","6","25","03:00","-","16.4"
"Kuopio keskusta","2004","6","26","03:00","-","16.4"
